f0_energy,f1_energy,bit
0.0192018,0.0155642,0
0.0037341,0.00313798,0
0.0261718,0.0152935,0
0.0150404,0.00359812,0
0.0445341,0.0188828,0
0.0113063,0.00291944,0
0.0417261,0.0202449,0
0.0246208,0.012872,0
0.0308828,0.00933478,0
0.0314276,0.0146819,0
0.000876543,0.00990086,1
0.00985088,0.0080195,0
0.0139182,0.000609346,0
0.0211802,0.00552852,0
0.0333293,0.013486,0
0.0168316,0.00677731,0
0.00689164,0.0108681,1
0.00674546,0.00527766,0
0.0113262,0.005346,0
0.0174161,0.00623933,0
0.0242019,0.0189637,0
0.0125946,0.00657576,0
0.0327857,0.0103169,0
0.016672,0.00876055,0
0.0276127,0.0113616,0
0.0198498,0.0193538,0
0.00782321,0.00301929,0
0.0208868,0.00702531,0
0.00542661,0.00507009,0
0.033675,0.0163853,0
0.052269,0.0235292,0
0.00450855,0.00311187,0
0.0115988,0.00401321,0
0.0193404,0.00757284,0
0.0498293,0.0233098,0
0.0400095,0.021998,0
0.00500323,0.00412182,0
0.0119409,0.000999881,0
0.0582957,0.0316888,0
0.0583621,0.0332646,0
0.02716,0.0180764,0
0.0137456,0.00065147,0
0.00181615,0.00639036,1
0.0270611,0.0164478,0
0.033864,0.0260814,0
0.0110024,0.00503477,0
0.0328636,0.00980589,0
0.00938331,0.00259684,0
0.0132691,0.00552255,0
0.0177281,0.00198977,0
0.0128858,0.0117311,0
0.0243742,0.00797422,0
0.00343117,0.00282971,0
0.0207355,0.00628054,0
0.0295254,0.0103028,0
0.0409404,0.0185,0
0.0223825,0.0148572,0
0.000805793,0.00313372,1
0.00576987,0.00956713,1
0.0245276,0.0129887,0
0.0435121,0.0254333,0
0.0257501,0.0132434,0
0.00346419,0.00488785,1
0.00370999,0.00323225,0
0.026569,0.016843,0
0.0263082,0.00849516,0
0.0135959,0.00579285,0
0.0204851,0.0159429,0
0.0112309,0.00724973,0
0.0101189,0.000217863,0
0.00971385,0.00490095,0
0.0507951,0.0293613,0
0.0365191,0.0250317,0
0.0111869,0.00764129,0
0.337153,0.0827699,0
0.373204,0.0646237,0
0.608713,0.0656708,0
0.614289,0.185989,0
0.13807,0.275934,1
0.328118,0.407066,1
0.226482,0.325235,1
0.102532,0.309775,1
0.022149,0.436444,1
0.79647,0.339971,0
0.396812,0.107099,0
1.698,0.460405,0
1.78712,0.341626,0
1.97822,0.471972,0
1.53463,0.36804,0
1.4004,0.354623,0
1.39584,0.194805,0
1.63437,0.875577,0
1.37751,0.937625,0
0.0394699,0.712839,1
0.664153,0.784775,1
0.645874,0.833218,1
1.14598,1.06753,0
0.80634,1.27866,1
0.946019,0.816696,0
1.50235,0.796711,0
1.6879,1.04765,0
2.03568,0.801336,0
1.48185,0.69471,0
1.77278,0.454623,0
1.66473,0.293164,0
1.52778,0.606303,0
1.34207,0.76229,0
0.37365,0.522056,1
0.828336,0.833813,1
0.47476,0.900255,1
0.90812,1.34458,1
0.639157,1.47681,1
0.905714,1.3242,1
1.50822,1.33133,0
2.0014,1.39868,0
2.34714,0.98147,0
1.80018,0.912058,0
1.95706,0.566912,0
1.93616,0.408269,0
1.37244,0.605348,0
0.753335,0.485733,0
0.365976,0.491292,1
0.780213,0.83031,1
0.324533,0.85794,1
0.725848,1.07054,1
0.515772,1.06306,1
1.05746,0.987504,0
1.89796,1.12543,0
2.42305,1.0303,0
2.53497,0.650156,0
1.87805,0.59393,0
1.9922,0.395456,0
2.10318,0.45998,0
1.26057,0.410656,0
0.673171,0.381201,0
0.335615,0.362486,1
0.65771,0.529061,0
0.268079,0.529042,1
0.696639,0.64001,0
0.340327,0.681565,1
1.11929,0.592935,0
1.97017,0.725991,0
2.01876,0.623801,0
2.02184,0.383682,0
1.63746,0.338549,0
1.58903,0.224386,0
1.73342,0.237282,0
1.06751,0.37579,0
0.990906,0.707478,0
0.194379,0.502078,1
0.60584,0.482711,0
0.367561,0.53106,1
0.829334,0.67699,0
0.417432,0.8879,1
1.11562,0.557414,0
1.7637,0.451284,0
1.69197,0.681527,0
