Bit_Index,Corr_f0,Corr_f1,Decision
0,-10.22766,2.17603,1
1,-3.13122,-5.75134,0
2,-12.17668,-1.99467,1
3,22.98249,5.62483,0
4,-0.00783,-0.01566,0
5,0.42390,0.50749,1
6,-9.47971,-3.07498,1
7,-4.74145,-3.71260,1
8,0.00783,0.01566,1
9,0.00783,0.01566,1
10,7.90766,3.14350,0
11,8.69841,4.33252,0
12,-0.01423,-0.02829,0
13,-3.65871,-2.46062,1
14,-0.94186,-0.67917,1
15,-2.37752,-0.89489,1
16,8.39235,3.16692,0
17,-0.49419,-0.62720,0
18,-4.23898,-2.25192,1
19,-2.23739,-1.32954,1
20,0.28587,0.21952,0
21,5.86201,2.70438,0
22,0.87902,0.58381,0
23,-3.78308,-1.60249,1
24,-4.13011,-1.87777,1
25,-0.63994,-0.28366,1
26,3.03385,1.15101,0
27,3.39887,1.47072,0
28,1.71361,0.72948,0
29,0.59463,0.31211,0
30,-1.32270,-0.58533,1
31,0.43779,-0.07492,0
32,0.19194,0.00615,0
33,0.42310,0.21650,0
34,-1.30067,-0.57081,1
35,-2.42588,-1.04115,1
36,-1.42472,-0.58985,1
37,1.94189,0.71711,0
38,2.17946,0.91222,0
39,0.92296,0.40594,0
40,-1.17296,-0.60985,1
41,-0.58605,-0.27412,1
42,0.00679,0.03520,1
43,0.66378,0.29542,0
44,-0.24912,-0.16347,1
45,-0.93960,-0.37047,1
46,-0.69111,-0.27811,1
47,0.67842,0.39157,0
48,1.32193,0.54936,0
49,0.51156,0.26399,0
50,-0.56994,-0.24198,1
51,-1.18471,-0.58269,1
52,-0.30943,-0.16633,1
53,0.54407,0.28192,0
54,0.71384,0.32153,0
55,-0.02257,0.05864,1
56,-0.12257,-0.08822,1
57,-0.01518,0.05958,1
58,0.36427,0.17901,0
59,-0.09052,-0.09577,0
60,-0.15847,-0.07863,1
61,-0.58138,-0.24987,1
62,-0.43616,-0.25267,1
63,-0.24839,-0.07265,1
64,0.10140,0.07188,0
65,0.24942,0.18482,0
66,0.16426,0.12401,0
67,-0.09427,-0.09698,0
68,-0.09947,-0.02307,1
69,0.11286,0.05719,0
70,0.37460,0.19340,0
71,0.19605,0.11449,0
72,0.05874,0.06021,1
73,-0.16162,-0.05302,1
74,0.03667,-0.00137,0
75,-0.11211,-0.07607,1
76,-0.21837,-0.09381,1
77,-0.36738,-0.16065,1
78,-0.26689,-0.11935,1
79,-0.32904,-0.12781,1
80,0.83948,0.49330,0
81,0.07832,0.03104,0
82,-0.10488,-0.05437,1
83,0.09128,0.01584,0
84,-0.04473,-0.00769,1
85,0.12410,0.04224,0
86,-0.07287,-0.03543,1
87,0.16769,0.06795,0
88,-0.02857,0.01068,1
89,0.05671,0.00604,0
90,-0.15162,-0.07411,1
91,-0.01677,-0.00147,1
92,-0.02037,0.01099,1
93,0.22711,0.12367,0
94,-0.07491,-0.00453,1
95,0.03273,0.00878,0
96,-0.11466,-0.03208,1
97,0.13241,0.06801,0
98,-0.03880,0.00033,1
99,0.06019,0.02608,0
100,-0.25979,-0.11136,1
101,0.16346,0.06263,0
102,0.09780,0.04402,0
103,0.26659,0.09622,0
104,-0.14365,-0.06194,1
105,0.04636,0.02553,0
106,-0.12406,-0.06014,1
107,0.22418,0.08564,0
108,-0.20123,-0.07032,1
109,-0.07858,0.03004,1
110,0.08624,0.03773,0
111,-0.01441,-0.00586,1
112,-0.03736,-0.00935,1
113,-0.24196,-0.08572,1
114,0.15396,0.09596,0
115,0.00195,0.04657,1
116,0.09588,0.04469,0
117,-0.24222,-0.08023,1
118,-0.05549,-0.02509,1
119,-0.10812,-0.05307,1
120,0.11921,0.05194,0
121,-0.09561,-0.06913,1
122,-0.01519,-0.01638,0
123,0.03440,0.02282,0
124,0.09848,0.08608,0
125,0.10008,0.04673,0
126,-0.09315,-0.05061,1
127,-0.08121,-0.02155,1
128,-0.08042,-0.01663,1
129,0.10499,0.06350,0
130,-0.12731,-0.02851,1
131,0.08959,0.05177,0
132,-0.02661,-0.00061,1
133,0.07312,0.05852,0
134,0.05659,0.03667,0
135,0.11002,0.02916,0
136,-0.16759,-0.04848,1
137,-0.12313,-0.03886,1
138,-0.09046,-0.01418,1
139,0.14202,0.05592,0
140,0.13324,0.06972,0
141,-0.02587,-0.02356,1
142,-0.09186,-0.04702,1
143,0.00259,-0.00190,0
144,0.08632,0.04955,0
145,-0.00554,0.02315,1
146,-0.16126,-0.08658,1
147,-0.07762,-0.04194,1
148,-0.00412,0.03181,1
149,0.28352,0.14558,0
150,-0.31455,0.02245,1
151,-0.03286,-0.01364,1
152,-0.17436,-0.07791,1
153,0.09045,0.01491,0
154,0.50540,-0.00770,0
155,0.02497,-0.01601,0
156,-0.24008,-0.11414,1
