correlation_f0,correlation_f1,confidence,bit
0.0130868,0.0111107,0.0816665,0
0.0370384,0.0176578,0.354332,0
-0.0151024,-0.00693657,0.370519,1
-0.0168352,-0.00367997,0.641243,1
-0.0129168,-0.0110259,0.0789752,1
-0.00236331,0.00356936,1,1
0.0173304,0.0119031,0.185655,0
0.00167583,0.00324308,0.318618,1
-0.0361888,-0.00967573,0.578073,1
-0.0132122,-0.00958266,0.159228,1
0.0225168,0.00791041,0.480044,0
0.0137434,0.0106053,0.12888,0
-0.00180973,-0.000854752,0.358411,1
-0.0178222,-0.0112118,0.227679,1
-0.0203368,-0.00772398,0.449482,1
0.00648998,0.000640909,0.820244,0
0.0188903,0.00877343,0.365709,0
-0.00342125,0.000461436,1,1
-0.0180337,-0.00836058,0.366485,1
-0.00330354,-0.00121442,0.462404,1
0.0274604,0.0146624,0.303825,0
0.00337665,0.00141255,0.41011,0
-0.00998977,0.000177183,1,1
-0.0272991,-0.0137428,0.330304,1
-0.00398651,0.000667374,1,1
0.00894199,0.00600662,0.196364,0
0.0334717,0.0114473,0.490312,0
-0.0152205,-0.00621787,0.41993,1
-0.0154567,-0.00525912,0.492261,1
-0.00703439,-0.00558653,0.114719,1
0.0184376,0.0115167,0.231048,0
0.00363733,0.00179422,0.339332,0
-0.00527199,-0.00061353,0.791512,1
-0.0284515,-0.018027,0.224287,1
0.013735,0.0105277,0.13219,0
0.00486361,0.00265981,0.292925,0
-0.000330952,-0.00105861,0.523661,0
-0.0214961,-0.00835793,0.44008,1
0.00554011,-0.00166385,1,0
-9.59803e-05,-0.00263159,0.929622,0
0.0596535,0.0242947,0.421198,0
-0.0183348,-0.0110346,0.248565,1
-0.00269162,-0.00352734,0.134383,0
-0.0397193,-0.0179448,0.377609,1
0.031662,0.0168561,0.305163,0
0.00438123,0.0056507,0.126542,1
0.0185524,0.00813895,0.390144,0
-0.0454329,-0.0234152,0.319801,1
-0.00212804,-0.000782772,0.462163,1
0.000533488,0.000135974,0.593782,0
0.0429185,0.0237123,0.288248,0
-0.028111,-0.0149935,0.304316,1
7.57556e-05,0.00165159,0.912286,1
-0.0309333,-0.0121311,0.436606,1
0.0298388,0.014642,0.341648,0
-0.00311843,-0.000784182,0.598124,1
0.00319739,0.00397216,0.108064,1
-0.0362561,-0.0191733,0.308191,1
0.018626,0.00784997,0.407013,0
0.0144776,0.0124183,0.0765644,0
0.0353876,0.0210173,0.254769,0
-0.0283524,-0.0112481,0.43192,1
-0.0156473,-0.00742571,0.356331,1
-0.0178754,-0.00693691,0.44085,1
0.0254118,0.0143744,0.277418,0
0.0186268,0.00734831,0.434204,0
-0.00557505,-0.00207544,0.457436,1
-0.0205747,-0.0101964,0.337272,1
0.000364132,-0.00292616,1,0
0.0328259,0.0180319,0.290891,0
0.0073621,0.00251184,0.491219,0
-0.0242957,-0.0074689,0.529735,1
-0.0347124,-0.0206735,0.253473,1
0.0180365,0.0118687,0.206244,0
0.00744526,0.00755525,0.00733258,1
0.0174681,0.00819871,0.361143,0
-0.348462,-0.0129024,0.928591,1
0.210685,-0.00281638,1,0
0.331607,-0.0324336,1,0
0.867346,0.282584,0.50852,0
-0.602159,0.117193,1,1
-0.112093,0.145929,1,1
-0.13442,0.161269,1,1
-0.106912,0.378881,1,1
0.0267625,0.0820974,0.508313,1
-0.260885,-0.105715,0.42327,1
1.60465,0.474044,0.543902,0
-1.1778,-0.053132,0.913672,1
-2.89016,-0.236941,0.848459,1
-1.61347,-0.0601402,0.928131,1
-1.31337,-0.00668429,0.989873,1
0.10687,0.145799,0.154071,1
-0.417468,-0.0643399,0.732923,1
-0.910535,-0.0211045,0.954694,1
-0.983655,-0.572024,0.264599,1
1.12642,-0.152255,1,0
0.734797,0.0195226,0.948238,0
-0.0581762,-0.185737,0.522976,0
-0.259393,-0.184533,0.168632,1
-0.992474,-0.219383,0.637939,1
-0.633438,-0.13429,0.650162,1
-0.543487,0.111661,1,1
-0.879689,0.534588,1,1
-1.81972,0.174261,1,1
-1.15161,-0.293047,0.594303,1
-0.381183,-0.0459141,0.784995,1
0.0125216,-0.0047198,1,0
0.55028,0.0383298,0.869762,0
-0.0649396,-0.0871301,0.145923,0
-0.414507,-0.231037,0.284209,1
0.583615,-0.512854,1,0
1.39615,-0.0296675,1,0
0.301103,0.540069,0.284087,1
-0.662936,0.347705,1,1
-0.710673,0.366253,1,1
-0.928761,0.529822,1,1
-0.599227,0.778999,1,1
-0.677496,0.91893,1,1
-1.59304,1.04837,1,1
-1.73636,0.630165,1,1
-0.487225,0.0261385,1,1
0.308217,0.149114,0.347895,0
0.333409,0.0591825,0.698503,0
0.390936,-0.148849,1,0
-0.0254091,-0.235231,0.805025,0
0.151373,-0.39349,1,0
1.74774,-0.190044,1,0
0.883799,0.193783,0.640337,0
-0.273605,0.733713,1,1
-0.854367,0.737425,1,1
-0.703004,0.880787,1,1
-0.358033,1.16941,1,1
-0.311882,1.28076,1,1
-0.747849,1.3638,1,1
-2.34505,0.981727,1,1
-0.633105,0.776782,1,1
0.522268,0.272408,0.314417,0
0.852498,0.146311,0.707029,0
0.673097,-0.126933,1,0
-0.00953387,-0.404758,0.953975,0
0.036402,-0.41152,1,0
0.762632,-0.458967,1,0
2.32622,0.108539,0.910842,0
0.332123,0.184418,0.285951,0
-0.538311,0.55404,1,1
-0.615187,0.715927,1,1
-0.297258,0.928484,1,1
0.360266,1.20513,0.539711,1
0.187866,1.12433,0.713662,1
-0.702258,1.16393,1,1
-1.90108,0.430267,1,1
