goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence,method_agreement
0.00849709,0.00478843,-0.0187522,-0.00938835,0.0188988,0.00997272,0,0.67,majority
0.0302317,0.00112134,0.0120898,-0.008937,0.0134522,0.00985512,0,1,unanimous
0.0206744,0.0127181,-0.00204198,-0.00268099,0.00764716,0.00290001,0,1,unanimous
0.0211301,0.0104169,0.053132,0.02469,0.0540727,0.0262138,0,1,unanimous
0.0505171,0.0318827,-0.00504343,-0.000459377,0.0139912,0.00171673,0,0.67,majority
0.0314229,0.0176736,-0.0117139,-0.00971696,0.0117241,0.0100032,0,0.67,majority
0.0172094,0.00284011,-0.0286137,-0.0100916,0.0286424,0.0115421,0,0.67,majority
0.00650125,0.00435318,0.0251821,0.00920601,0.0252047,0.00964582,0,1,unanimous
0.0246266,0.0250162,0.0295635,0.00817633,0.0354088,0.00849442,0,0.67,majority
0.0437807,0.0200769,-0.0188415,-0.00939574,0.0188421,0.00966513,0,0.67,majority
0.0170615,0.00363847,-0.0316451,-0.00952951,0.0320675,0.00953077,0,0.67,majority
0.0121613,0.0063744,-0.00335555,-0.00177862,0.00612666,0.00177914,0,0.67,majority
0.0110423,0.0064483,0.0109681,0.00368541,0.0198368,0.00580759,0,1,unanimous
0.0400565,0.024379,0.0293679,0.0117458,0.0299757,0.0125081,0,1,unanimous
0.034617,0.0201374,-0.0350747,-0.0199146,0.0355713,0.0206796,0,0.67,majority
0.0100761,0.0045404,-0.0131553,-0.0102485,0.0157233,0.0111269,0,0.67,majority
0.0282724,0.0148281,-0.0035583,-0.00104237,0.00867833,0.00538699,0,0.67,majority
0.00983409,0.00342481,0.0251397,0.0112531,0.0256413,0.0127295,0,1,unanimous
0.0349591,0.0159863,-0.00473615,-0.00413773,0.00943952,0.00446715,0,0.67,majority
0.0165734,0.0121467,-0.0174355,-0.0123965,0.0177301,0.0130735,0,0.67,majority
0.0169097,0.0131415,-0.0250826,-0.0161889,0.0285097,0.0165619,0,0.67,majority
0.0115724,0.00566917,0.0178633,0.0165845,0.0210173,0.018069,0,1,unanimous
0.0339288,0.0235716,0.0237531,0.00910049,0.0253351,0.0091341,0,1,unanimous
0.0222224,0.0128482,-0.0438174,-0.0143716,0.0438931,0.0148712,0,0.67,majority
0.0133701,0.00447712,-0.0043264,-0.00304189,0.00548907,0.0030823,0,0.67,majority
0.0211347,0.0106729,-0.0147837,-0.0049306,0.0147913,0.00569012,0,0.67,majority
0.004621,0.00204937,0.0484393,0.0209126,0.0484395,0.0220112,0,1,unanimous
0.0316693,0.013511,-0.0182436,-0.00509572,0.0182439,0.00510442,0,0.67,majority
0.0174376,0.00890513,-0.0100572,0.00219065,0.0104296,0.00248342,0,0.67,majority
0.0130197,0.00807259,-0.0506687,-0.0172223,0.0527895,0.0201431,0,0.67,majority
0.0289691,0.0133547,0.0271664,0.0152209,0.027353,0.0153268,0,1,unanimous
0.00555424,0.00394184,-0.000489936,-0.00139908,0.00982408,0.001408,0,1,unanimous
0.0121956,0.00606774,0.0141015,0.00369142,0.0194211,0.00423181,0,1,unanimous
0.0173017,0.00597695,-0.0433107,-0.0171573,0.0441947,0.0196867,0,0.67,majority
0.0463929,0.0285772,-0.00459405,0.00768996,0.00642067,0.00773969,1,0.67,majority
0.0282346,0.0179637,0.0282399,0.0112472,0.0298749,0.0113537,0,1,unanimous
0.0427209,0.192986,0.0514535,0.0175086,0.0652372,0.204512,1,0.67,majority
0.0400105,0.0215212,-0.0123668,-0.00445557,0.0168096,0.0050985,0,0.67,majority
0.00939745,0.00103264,-0.0378268,-0.0153992,0.0383151,0.0154836,0,0.67,majority
0.0301536,0.0157955,-0.00400573,-0.00521812,0.0178867,0.00565228,0,1,unanimous
0.00526566,0.00388568,0.0431713,0.0198713,0.04365,0.0207409,0,1,unanimous
0.0294976,0.0150152,0.00203368,0.00602303,0.00203368,0.00613297,1,0.67,majority
0.0207063,0.0109373,-0.00656843,-0.00918497,0.00748071,0.00933445,0,0.67,majority
0.00801918,0.00443831,-0.0109647,-0.009312,0.0121983,0.00935602,0,0.67,majority
0.0113723,0.00618122,0.0143407,0.00742005,0.0144038,0.00742868,0,1,unanimous
0.0229578,0.010396,0.0435613,0.0144802,0.0437662,0.0160104,0,1,unanimous
0.0426637,0.0283002,-0.000228792,0.00109879,0.0038611,0.00212918,0,0.67,majority
0.383701,0.0687032,0.458375,-0.0781653,0.460327,0.129913,0,1,unanimous
0.445085,0.390497,-0.786282,-0.600966,2.03721,0.650856,0,0.67,majority
0.383664,0.768442,0.0286567,-0.524254,0.674942,0.645204,0,0.67,majority
0.45491,0.361511,-0.893041,-0.615932,2.06267,0.660243,0,0.67,majority
0.432856,0.790328,0.0482646,-0.608306,0.685804,0.678987,0,0.67,majority
1.02541,0.334967,-0.290429,-0.562967,1.73074,0.564303,0,1,unanimous
0.020249,0.00266728,0.0159328,0.000333517,0.0159518,0.00416961,0,1,unanimous
0.0077621,0.00712311,0.0284644,0.0170811,0.0325108,0.0178399,0,1,unanimous
0.0392494,0.0299298,0.0174994,0.00838316,0.0209862,0.00847703,0,1,unanimous
0.0371047,0.0245176,-0.0279858,-0.0130995,0.0286979,0.0132622,0,0.67,majority
0.0108371,0.006518,-0.00958059,-0.00548058,0.00974155,0.00652514,0,0.67,majority
0.00883036,0.00859134,-8.31157e-05,-0.000578315,0.0028459,0.00259058,0,1,unanimous
0.459112,0.214157,0.632548,-0.357148,0.633724,0.380273,0,1,unanimous
0.368519,0.292248,-1.45619,-0.702397,1.90818,0.707434,0,0.67,majority
0.347747,0.564011,0.556578,-0.727551,0.788531,0.730778,0,0.67,majority
0.315817,0.327493,-1.42918,-0.737542,1.76923,0.748319,1,0.67,majority
0.254706,0.535314,0.800344,-0.73522,0.999157,0.741336,0,0.67,majority
0.394983,0.329746,-1.45915,-0.706931,1.80129,0.727259,0,0.67,majority
0.194823,0.464726,0.863372,-0.706371,1.0568,0.743159,0,0.67,majority
0.320077,0.384458,-1.60117,-0.638172,1.83137,0.685858,1,0.67,majority
0.269817,0.457856,0.891674,-0.633871,1.04562,0.677832,0,0.67,majority
1.01691,0.124908,-1.09296,-0.245312,1.68085,0.493115,0,0.67,majority
0.0414721,0.0273277,0.0384178,0.0194104,0.041134,0.0201498,0,1,unanimous
0.0479617,0.0343804,-0.0340299,-0.0170831,0.0341162,0.0186272,0,0.67,majority
0.00880586,0.00617448,-0.0330274,-0.0116866,0.033133,0.012997,0,0.67,majority
0.0183606,0.0050581,0.0047874,-4.53732e-05,0.00731755,0.000710138,0,1,unanimous
0.0191448,0.011439,0.0450342,0.0193419,0.0458063,0.0198945,0,1,unanimous
0.0595465,0.0297444,0.00816861,0.000846788,0.0102786,0.00122945,0,1,unanimous
0.0408795,0.0189679,0.00900622,-0.011996,0.00927286,0.0127418,0,0.67,majority
0.0410141,0.0277207,-0.0555743,-0.0432074,0.0556662,0.0460126,0,0.67,majority
0.0923344,0.0260929,0.00396364,0.0895755,0.0258512,0.0968981,1,0.67,majority
0.0636894,0.0633006,0.0451847,-0.28476,0.0586341,0.28476,0,0.67,majority
0.0713305,0.129772,-0.0138569,-0.261494,0.0270768,0.342387,1,0.67,majority
0.144131,0.234835,-0.0397845,-0.0577845,0.0903247,0.371347,1,0.67,majority
0.0889937,0.204661,0.00333282,-0.119626,0.0539746,0.140462,1,0.67,majority
0.880563,0.213833,-0.390322,-0.459537,0.847418,0.465455,0,1,unanimous
0.466906,0.399314,1.20527,-0.250598,1.24436,0.807804,0,1,unanimous
1.567,0.399492,-2.10793,0.903985,2.24229,0.969681,0,0.67,majority
0.417037,0.217804,-2.48647,-0.602101,2.53372,0.617787,0,0.67,majority
0.886031,0.183787,0.0075032,0.600638,0.183337,0.653837,1,0.67,majority
0.355557,0.774806,-1.59144,-0.268907,2.10366,0.543862,1,0.67,majority
0.554129,0.319424,0.630822,0.208719,0.646796,0.488628,0,1,unanimous
0.197241,0.961162,-1.01783,-0.224847,1.80432,0.933692,1,0.67,majority
0.401119,0.396387,0.197928,0.394839,0.709073,0.73134,1,0.67,majority
0.319562,0.917984,-1.3166,-0.0501734,1.91971,0.829508,1,0.67,majority
0.605715,0.369406,-0.0355163,0.63346,0.561997,0.770056,1,0.67,majority
0.238905,0.915221,-1.06004,0.0472315,1.67653,0.896658,1,0.67,majority
0.902164,0.677982,-0.631974,0.192141,1.60189,0.292399,0,0.67,majority
0.511368,0.503952,1.18729,0.0197664,1.21687,0.833872,0,1,unanimous
0.353822,0.670923,-1.6787,0.111032,1.98118,0.396321,1,0.67,majority
0.488075,0.516079,1.25784,0.124753,1.30026,0.851982,0,0.67,majority
