goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence
0.00301558,0.00764863,0.0201625,0.00597242,0.023787,0.00613518,0,0.67
0.0292402,0.0148282,0.00865973,0.00397803,0.0130799,0.00678813,0,1
0.0232166,0.0109987,-0.0400177,-0.0164277,0.0401973,0.0166193,1,0.67
0.00974617,0.0110007,-0.0177913,-0.00523857,0.0181393,0.00532017,1,0.67
0.023725,0.0088585,0.00169445,0.00565838,0.00993568,0.00566218,1,0.67
0.0189727,0.00488449,0.0234362,0.0158413,0.0235025,0.0168965,0,1
0.0307151,0.0189554,-0.00883049,-0.00325753,0.0102913,0.00404741,1,0.67
0.0148565,0.0118276,-0.00807637,-0.006915,0.013611,0.00910191,1,0.67
0.0112975,0.00432671,-0.0323441,-0.0110989,0.0325565,0.0119336,1,0.67
0.00868905,0.00380379,0.0215315,0.0127364,0.0216897,0.0129952,0,1
0.0274177,0.0110871,0.0198686,0.0126218,0.0201928,0.0133085,0,1
0.03841,0.021748,0.000702034,-0.00142951,0.00478352,0.00161939,0,1
0.0273416,0.0107451,-0.0240359,-0.00683581,0.0274009,0.00710832,1,0.67
0.0101791,0.00505045,-0.0202067,-0.00869803,0.0202327,0.00963562,1,0.67
0.0194038,0.0125286,-0.00174756,0.00139276,0.00331354,0.00152131,1,0.67
0.00498789,0.00179477,0.0156048,0.0119345,0.0157885,0.0126709,0,1
0.0278321,0.00444302,-0.0137135,-0.00501239,0.0160076,0.00675318,1,0.67
0.0160337,0.00274385,-0.0112355,-0.0060807,0.0117167,0.00884612,1,0.67
0.0255493,0.014577,-0.0179762,-0.00312465,0.0182858,0.0035924,1,0.67
0.0147849,0.00916073,0.00993053,0.0075144,0.0103726,0.0077795,0,1
0.00876635,0.00337798,0.0158436,0.00760071,0.0162331,0.00959386,0,1
0.0165351,0.00792449,-0.0148582,-0.00439454,0.0149013,0.00444773,1,0.67
0.00412742,0.00290109,-0.0231193,-0.00771955,0.0260543,0.00954552,1,0.67
0.0144501,0.00757252,-0.000972024,-0.00211715,0.00761688,0.00213109,0,1
0.00362028,0.00205226,0.0227931,0.00891074,0.0233174,0.00892702,0,1
0.0110019,0.00667353,-0.00948583,-0.00425263,0.0109588,0.00462853,1,0.67
0.00662751,0.00238224,-0.00523445,-0.000137948,0.0100139,0.000377561,1,0.67
0.0223809,0.00890963,-0.0104299,-0.0120948,0.0153521,0.0135967,0,1
0.0186012,0.0117827,0.0170588,0.00166562,0.0171099,0.00268018,0,1
0.00171012,0.00492672,0.0234734,0.00854828,0.0241945,0.00858752,0,0.67
0.0368739,0.0153586,0.0117905,0.00647194,0.011941,0.00758155,0,1
0.00760846,0.00266741,-0.0324167,-0.0154205,0.0326632,0.0158079,1,0.67
