Sample_Index,NCC_Value
0,-0.03647768
1,-0.05393472
2,-0.07147383
3,-0.08524335
4,-0.09472852
5,-0.09910974
6,-0.09726510
7,-0.09090258
8,-0.07999908
9,-0.06543991
10,-0.04941124
11,-0.03373626
12,-0.01823439
13,-0.00547964
14,0.00507765
15,0.01476614
16,0.02115235
17,0.02574861
18,0.02916650
19,0.03027533
20,0.02974522
21,0.02692551
22,0.02151457
23,0.01407828
24,0.00507181
25,-0.00606527
26,-0.01784880
27,-0.02867851
28,-0.03953978
29,-0.04899219
30,-0.05554546
31,-0.05925580
32,-0.06045037
33,-0.05929038
34,-0.05548754
35,-0.05077959
36,-0.04481856
37,-0.03858875
38,-0.03457904
39,-0.03128119
40,-0.03087738
41,-0.03348613
42,-0.03825291
43,-0.04528868
44,-0.05344386
45,-0.06096728
46,-0.06617357
47,-0.06903712
48,-0.06757797
49,-0.06151723
50,-0.05099979
51,-0.03672691
52,-0.01921588
53,-0.00036134
54,0.01816403
55,0.03547591
56,0.05058655
57,0.06187570
58,0.07031926
59,0.07518640
60,0.07677974
61,0.07645788
62,0.07342307
63,0.06827049
64,0.06238537
65,0.05501816
66,0.04683590
67,0.03897645
68,0.03219074
69,0.02724697
70,0.02429852
71,0.02393651
72,0.02462045
73,0.02731130
74,0.03280592
75,0.03373758
76,0.03288552
77,0.03014442
78,0.02355858
79,0.01480249
80,0.00432947
81,-0.00488766
82,-0.01248864
83,-0.01616745
84,-0.01425396
85,-0.00820043
86,0.00203223
87,0.01579301
88,0.03025532
89,0.04390018
90,0.05434775
91,0.05900027
92,0.05779414
93,0.05177550
94,0.04222837
95,0.03123509
96,0.02027555
97,0.01174903
98,0.00713805
99,0.00590122
100,0.00837644
101,0.01386849
102,0.02085935
103,0.02728076
104,0.03059519
105,0.03013771
106,0.02560608
107,0.01771375
108,0.00710424
109,-0.00379833
110,-0.01280126
111,-0.01833195
112,-0.01881847
113,-0.01421848
114,-0.00598297
115,0.00470525
116,0.01459610
117,0.02323658
118,0.02816267
119,0.02861137
120,0.02498584
121,0.01800580
122,0.00923972
123,0.00175363
124,-0.00390286
125,-0.00530256
126,-0.00429218
127,-0.00007912
128,0.00610010
129,0.01241145
130,0.01764178
131,0.01988392
132,0.01879247
133,0.01514702
134,0.00820626
135,0.00108877
136,-0.00572153
137,-0.01147440
138,-0.01429039
139,-0.01485931
140,-0.01430625
141,-0.01299492
142,-0.01438001
143,-0.01579775
144,-0.01724138
145,-0.02206065
146,-0.02624420
147,-0.02984367
148,-0.03195445
149,-0.03003924
150,-0.02440681
151,-0.01517846
152,-0.00215119
153,0.01151398
154,0.02509178
155,0.03741277
156,0.04644849
157,0.05205056
158,0.05406725
159,0.05305747
160,0.05105491
161,0.04867532
162,0.04769363
163,0.04861839
164,0.05250191
165,0.05853426
166,0.06489824
167,0.07090993
168,0.07516537
169,0.07477663
170,0.07064487
171,0.06208904
172,0.05075020
173,0.03833551
174,0.02459624
175,0.01397422
176,0.00634802
177,0.00217163
178,0.00171582
179,0.00300571
180,0.00598756
181,0.00874224
182,0.00960799
183,0.00862660
184,0.00539394
185,-0.00007698
186,-0.00624371
187,-0.01222658
188,-0.01701735
189,-0.01906322
190,-0.01833541
191,-0.01381740
192,-0.00577333
193,0.00418280
194,0.01571844
195,0.02745856
196,0.03975415
197,0.05164159
198,0.06209778
199,0.07170665
200,0.07833128
201,0.08257223
202,0.08461739
203,0.08244262
204,0.07821353
205,0.07070007
206,0.06127499
207,0.05072940
208,0.04029507
209,0.03019735
210,0.02098658
211,0.01605421
212,0.01198856
213,0.01045806
214,0.01179805
215,0.01334101
216,0.01600156
217,0.01734006
218,0.01766127
219,0.01689055
220,0.01381329
221,0.01007476
222,0.00531530
223,0.00219363
224,0.00075970
225,0.00045591
226,0.00290150
227,0.00746410
228,0.01286145
229,0.01977957
230,0.02631375
231,0.03243139
232,0.03680142
233,0.04034870
234,0.04121166
235,0.04046001
236,0.03931871
237,0.03694953
238,0.03520249
239,0.03274860
240,0.03042652
241,0.02904558
242,0.02716226
243,0.02777464
244,0.02813291
245,0.02904238
246,0.03049820
247,0.03114079
248,0.03354021
249,0.03577670
250,0.03975721
251,0.04551837
252,0.05170539
253,0.05833357
254,0.06440063
255,0.06890333
256,0.06924504
257,0.06693557
258,0.06036323
259,0.04854138
260,0.03341904
261,0.01537640
262,-0.00172803
263,-0.01665148
264,-0.02792420
265,-0.03272239
266,-0.03136081
267,-0.02406522
268,-0.01103718
269,0.00533077
270,0.02217765
271,0.03789122
272,0.05072968
273,0.05843495
274,0.06220548
275,0.06066212
276,0.05671961
277,0.05104659
278,0.04444013
279,0.04039333
280,0.03785186
281,0.03880211
282,0.04156490
283,0.04522795
284,0.04856675
285,0.04814138
286,0.04516498
287,0.03777697
288,0.02678186
289,0.01369731
290,0.00010617
291,-0.01167789
292,-0.02017220
293,-0.02291283
294,-0.02041341
295,-0.01339520
296,-0.00363840
297,0.00672503
298,0.01595674
299,0.02229745
300,0.02390810
301,0.02115138
302,0.01600257
303,0.00984315
304,0.00691551
305,0.00820570
306,0.01446028
307,0.02549224
308,0.03936767
309,0.05287913
310,0.06358550
311,0.06983296
312,0.06926724
313,0.06205693
314,0.04952712
315,0.03421252
316,0.01928015
317,0.00885744
318,0.00372571
319,0.00483259
320,0.01245601
321,0.02298476
322,0.03639704
323,0.04838147
324,0.05764442
325,0.06265326
326,0.06285076
327,0.05886284
328,0.05242478
329,0.04766183
330,0.04416549
331,0.04532859
332,0.04973167
333,0.05692945
334,0.06624136
335,0.07535665
336,0.08316325
337,0.08717993
338,0.08898338
339,0.08632098
340,0.08219967
341,0.07687756
342,0.07195826
343,0.06960180
344,0.06993353
345,0.07376280
346,0.07888542
347,0.08585585
348,0.09250655
349,0.09696238
350,0.09824766
351,0.09511747
352,0.08830564
353,0.07760009
354,0.06626999
355,0.05464774
356,0.04470281
357,0.03745436
358,0.03179038
359,0.02957900
360,0.02820973
361,0.02810833
362,0.02716885
363,0.02453195
364,0.01796556
365,0.01017525
366,0.00048165
367,-0.00902176
368,-0.01765666
369,-0.02458136
370,-0.02691147
371,-0.02600293
372,-0.02100919
373,-0.01360738
374,-0.00504593
375,0.00395899
376,0.01190777
377,0.01656714
378,0.01984767
379,0.02018223
380,0.01881376
381,0.01604539
382,0.01267580
383,0.00919786
384,0.00604258
385,0.00392979
386,0.00301606
387,0.00223213
388,0.00212470
389,0.00133904
390,0.00073591
391,-0.00118151
392,-0.00317478
393,-0.00518839
394,-0.00763317
395,-0.00876243
396,-0.01051913
397,-0.01207773
398,-0.01306465
399,-0.01291636
400,-0.01317451
401,-0.01327004
402,-0.01387294
403,-0.01486716
404,-0.01660992
405,-0.01819815
406,-0.01934087
407,-0.01814780
408,-0.01462007
409,-0.00870383
410,-0.00128192
411,0.00817259
412,0.01714888
413,0.02617137
414,0.03353080
415,0.03781670
416,0.03922855
417,0.03816573
418,0.03451438
419,0.02822742
420,0.02158575
421,0.01334182
422,0.00651984
423,0.00059932
424,-0.00487888
425,-0.00921632
426,-0.01220632
427,-0.01505972
428,-0.01735876
429,-0.01847140
430,-0.01880167
431,-0.01870041
432,-0.01734269
433,-0.01603697
434,-0.01406648
435,-0.01188364
436,-0.00968162
437,-0.00735272
438,-0.00545227
439,-0.00296490
440,-0.00109953
441,0.00221391
442,0.00530084
443,0.00974431
444,0.01610968
445,0.02309272
446,0.03157777
447,0.04032554
448,0.04883330
449,0.05592207
450,0.06187733
451,0.06487125
452,0.06368076
453,0.06035071
454,0.05304812
455,0.04439239
456,0.03357933
457,0.02340188
458,0.01299556
459,0.00360284
460,-0.00376661
461,-0.00999259
462,-0.01367736
463,-0.01643731
464,-0.01832804
465,-0.01984580
466,-0.02107741
467,-0.02207877
468,-0.02228035
469,-0.02307698
470,-0.02290715
471,-0.02185769
472,-0.01948300
473,-0.01530142
474,-0.01017601
475,-0.00225604
476,0.00627819
477,0.01692135
478,0.02790471
479,0.03906675
480,0.05012273
481,0.05917680
482,0.06689854
483,0.07105356
484,0.07268881
485,0.07105977
486,0.06716385
487,0.06199285
488,0.05414863
489,0.04717089
490,0.03892053
491,0.03110825
492,0.02288572
493,0.01460235
494,0.00706039
495,-0.00161642
496,-0.00897782
497,-0.01703924
498,-0.02314853
499,-0.02726298
500,-0.02960590
501,-0.02883009
502,-0.02716726
503,-0.02299290
504,-0.01697810
505,-0.01131289
506,-0.00549333
507,-0.00080837
508,0.00393430
509,0.00733981
510,0.01112424
511,0.01507426
512,0.01893204
513,0.02382686
514,0.02829512
515,0.03439566
516,0.03915912
517,0.04407982
518,0.04720024
519,0.04779958
520,0.04706342
521,0.04429906
522,0.04046943
523,0.03527856
524,0.03055144
525,0.02579711
526,0.02078211
527,0.01672630
528,0.01260925
529,0.00949874
530,0.00570600
531,0.00158734
532,-0.00342557
533,-0.00891815
534,-0.01570945
535,-0.02228449
536,-0.02865772
537,-0.03541236
538,-0.04201690
539,-0.04753722
540,-0.05214882
541,-0.05563392
542,-0.05739700
543,-0.05827828
544,-0.05733211
545,-0.05570346
546,-0.05280381
547,-0.04890369
548,-0.04396266
549,-0.03817895
550,-0.03271819
551,-0.02864875
552,-0.02643043
553,-0.02385175
554,-0.02422534
555,-0.02529402
556,-0.02919237
557,-0.03204105
558,-0.03270514
559,-0.03370011
560,-0.03120260
561,-0.02844719
562,-0.02366366
563,-0.01929270
564,-0.01498422
565,-0.01069097
566,-0.00830994
567,-0.00638508
568,-0.00711363
569,-0.00992187
570,-0.01434329
571,-0.01846511
572,-0.02221090
573,-0.02643100
574,-0.03022148
575,-0.03409733
576,-0.03704936
577,-0.03993809
578,-0.04115229
579,-0.04176508
580,-0.04196708
581,-0.04167615
582,-0.04216977
583,-0.04119355
584,-0.03868532
585,-0.03474339
586,-0.02920167
587,-0.02316112
588,-0.01644380
589,-0.01078314
590,-0.00636406
591,-0.00461373
592,-0.00552374
593,-0.00908451
594,-0.01583965
595,-0.02302715
596,-0.03002456
597,-0.03553285
598,-0.03837511
599,-0.03827953
600,-0.03517878
601,-0.03006126
602,-0.02430097
603,-0.01867218
604,-0.01403832
605,-0.01217931
606,-0.01298361
607,-0.01688103
608,-0.02213176
609,-0.02710470
610,-0.03145454
611,-0.03330622
612,-0.03167574
613,-0.02832176
614,-0.02199821
615,-0.01472153
616,-0.00817729
617,-0.00232590
618,0.00239859
619,0.00463981
620,0.00355963
621,0.00379393
622,0.00477687
623,0.00609344
624,0.00996528
625,0.01368909
626,0.01769574
627,0.02253981
628,0.02452906
629,0.02518407
630,0.02155141
631,0.01364129
632,0.00380219
633,-0.00855192
634,-0.02171970
635,-0.03423583
636,-0.04481435
637,-0.05241875
638,-0.05904192
639,-0.06254051
640,-0.06316111
641,-0.06309262
642,-0.06165509
643,-0.05963268
644,-0.05702782
645,-0.05371925
646,-0.05068753
647,-0.04785004
648,-0.04420779
649,-0.04013486
650,-0.03568217
651,-0.03165769
652,-0.02893460
653,-0.02708545
654,-0.02648539
655,-0.02687663
656,-0.02807657
657,-0.02977964
658,-0.03085280
659,-0.03090589
660,-0.02928243
661,-0.02576287
662,-0.02115017
663,-0.01521213
664,-0.00913647
665,-0.00370155
666,0.00048607
667,0.00357198
668,0.00476578
669,0.00454617
670,0.00349800
671,0.00196649
672,0.00036550
673,-0.00148900
674,-0.00314241
675,-0.00558583
676,-0.00921089
677,-0.01428974
678,-0.02227038
679,-0.03214466
680,-0.04317808
681,-0.05543524
682,-0.06634610
683,-0.07495507
684,-0.08169707
685,-0.08311524
686,-0.08069286
687,-0.07550945
688,-0.06637643
689,-0.05560158
690,-0.04500973
691,-0.03547467
692,-0.02708562
693,-0.02134023
694,-0.01823596
695,-0.01658381
696,-0.01668935
697,-0.01742741
698,-0.01834103
699,-0.01962371
700,-0.02047124
701,-0.02071233
702,-0.02082794
703,-0.01977545
704,-0.01800309
705,-0.01555414
706,-0.01220521
707,-0.00905846
708,-0.00624645
709,-0.00365939
710,-0.00248397
711,-0.00229390
712,-0.00449127
713,-0.00912213
714,-0.01523824
715,-0.02238025
716,-0.03059903
717,-0.03844103
718,-0.04424336
719,-0.04949030
720,-0.05091240
721,-0.05091550
722,-0.05003668
723,-0.04760876
724,-0.04483629
725,-0.04283300
726,-0.04196709
727,-0.04203374
728,-0.04336618
729,-0.04604281
730,-0.05008507
731,-0.05407961
732,-0.05779952
